,Model name,Method,N,Test,Train,Train-Test
21,Lasso,best15_f_regression,15,0.1024813832323221,0.10132655052084841,-0.001154832711473694
0,Ridge,best15_f_regression,15,0.10248956241496214,0.10133348263195711,-0.0011560797830050262
63,Elastic Net,best15_f_regression,15,0.10251472420083044,0.10134675889997595,-0.0011679653008544871
116,LightGBM,median_from_lasso,95,0.10284662476445443,0.08773696764100483,-0.015109657123449596
122,LightGBM,default_lasso,95,0.10284662476445443,0.08773696764100483,-0.015109657123449596
51,SVR,best145_mutual_info_regression,145,0.10343436982664396,0.05191074931167947,-0.05152362051496449
50,SVR,best120_mutual_info_regression,120,0.10383380903747949,0.05343170249874096,-0.05040210653873853
165,Stack2,default_elasticnet,95,0.10389121121140261,0.07371062657433965,-0.030180584637062968
102,XGB,default_elasticnet,95,0.10391487302213967,0.07249438038302033,-0.031420492639119335
96,XGB,median_from_elasticnet,95,0.10391487302213967,0.07249438038302033,-0.031420492639119335
143,Stack1,default_lasso,95,0.10431778134757178,0.0702342542384619,-0.034083527109109876
123,LightGBM,default_elasticnet,95,0.10460718416032269,0.09076589199949595,-0.013841292160826746
117,LightGBM,median_from_elasticnet,95,0.10460718416032269,0.09076589199949595,-0.013841292160826746
137,Stack1,median_from_lasso,95,0.10531479320030986,0.07076560174726529,-0.03454919145304457
158,Stack2,median_from_lasso,95,0.10535181011224275,0.07060526065710823,-0.034746549455134515
164,Stack2,default_lasso,95,0.10554866791519164,0.07051262033855263,-0.035036047576639015
144,Stack1,default_elasticnet,95,0.10570172542955851,0.07465454414940717,-0.03104718128015134
138,Stack1,median_from_elasticnet,95,0.1059233121345295,0.07526194207117962,-0.030661370063349888
159,Stack2,median_from_elasticnet,95,0.10635231854815949,0.07447017553428249,-0.031882143013877
11,Ridge,median_from_lasso,95,0.10689455019971852,0.09973563091633486,-0.0071589192833836635
17,Ridge,default_lasso,95,0.10689455019971852,0.09973563091633486,-0.0071589192833836635
12,Ridge,median_from_elasticnet,95,0.10697717845714769,0.10005179882231234,-0.006925379634835346
18,Ridge,default_elasticnet,95,0.10697717845714769,0.10005179882231234,-0.006925379634835346
81,Elastic Net,default_elasticnet,95,0.10708936415888785,0.09838168563867358,-0.008707678520214271
75,Elastic Net,median_from_elasticnet,95,0.10708936415888785,0.09838168563867358,-0.008707678520214271
59,SVR,default_lasso,95,0.1071156154600162,0.0969491833732336,-0.010166432086782598
53,SVR,median_from_lasso,95,0.1071156154600162,0.0969491833732336,-0.010166432086782598
39,Lasso,default_elasticnet,95,0.10723238181640667,0.09830995154667382,-0.008922430269732842
33,Lasso,median_from_elasticnet,95,0.10723238181640667,0.09830995154667382,-0.008922430269732842
80,Elastic Net,default_lasso,95,0.10728766488943779,0.0982743743987496,-0.009013290490688192
74,Elastic Net,median_from_lasso,95,0.10728766488943779,0.0982743743987496,-0.009013290490688192
38,Lasso,default_lasso,95,0.10730488607060913,0.0984733849831622,-0.00883150108744693
32,Lasso,median_from_lasso,95,0.10730488607060913,0.0984733849831622,-0.00883150108744693
60,SVR,default_elasticnet,95,0.1073656120614972,0.09735295523391345,-0.010012656827583746
54,SVR,median_from_elasticnet,95,0.1073656120614972,0.09735295523391345,-0.010012656827583746
100,XGB,default_ridge,95,0.10934047071244399,0.08092019163446039,-0.0284202790779836
94,XGB,median_from_ridge,95,0.10934047071244399,0.08092019163446039,-0.0284202790779836
61,SVR,rfe,134,0.11073706328236714,0.05046756068242199,-0.06026950259994515
157,Stack2,median_from_ridge,95,0.11141557770509161,0.08292003878773084,-0.02849553891736077
62,SVR,all,190,0.11162862121335623,0.04817070664336669,-0.06345791456998955
163,Stack2,default_ridge,95,0.11206894592297548,0.08270713707119709,-0.029361808851778387
121,LightGBM,default_ridge,95,0.11223037854487139,0.09938960766387331,-0.012840770880998081
